0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	1
24	2
25	6
26	5
27	6
28	12
29	15
30	13
31	13
32	14
33	12
34	11
35	15
36	14
37	13
38	14
39	16
40	13
41	15
42	17
43	13
44	16
45	19
46	26
47	21
48	75
49	211
50	403
51	590
52	660
53	724
54	736
55	710
56	701
57	770
58	902
59	1059
60	1141
61	1036
62	912
63	907
64	937
65	1107
66	1180
67	1317
68	1237
69	1210
70	1383
71	1548
72	1506
73	1192
74	847
75	584
76	279
77	106
78	30
79	22
80	14
81	20
82	25
83	16
84	29
85	20
86	21
87	15
88	23
89	25
90	13
91	30
92	13
93	9
94	18
95	18
96	13
97	21
98	22
99	37
100	33
101	26
102	28
103	25
104	40
105	22
106	43
107	24
108	46
109	37
110	49
111	44
112	46
113	43
114	70
115	55
116	57
117	50
118	33
119	53
120	45
121	49
122	59
123	41
124	45
125	40
126	52
127	47
128	48
129	41
130	46
131	54
132	51
133	44
134	48
135	49
136	60
137	65
138	56
139	67
140	67
141	59
142	78
143	59
144	81
145	88
146	79
147	58
148	88
149	89
150	60
151	74
152	77
153	118
154	89
155	110
156	123
157	128
158	140
159	118
160	144
161	171
162	152
163	186
164	198
165	212
166	223
167	177
168	251
169	245
170	253
171	260
172	293
173	342
174	369
175	364
176	377
177	412
178	388
179	450
180	496
181	475
182	443
183	412
184	414
185	379
186	325
187	339
188	303
189	272
190	289
191	254
192	259
193	199
194	223
195	171
196	182
197	159
198	147
199	138
200	143
201	119
202	105
203	111
204	104
205	93
206	96
207	89
208	86
209	79
210	79
211	64
212	81
213	61
214	65
215	55
216	70
217	62
218	51
219	59
220	51
221	50
222	38
223	44
224	41
225	25
226	34
227	25
228	27
229	25
230	20
231	18
232	15
233	10
234	13
235	12
236	7
237	16
238	13
239	8
240	3
241	13
242	2
243	14
244	7
245	10
246	9
247	7
248	2
249	12
250	5
251	6
252	6
253	5
254	5
255	24
